id,latitude,longitude,name,est_bike_slots
45dbb0009135e465f49f054517cbe74d,43.259125842121065,-79.87721174955368,hess at king,12
cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,bayfront park,32
024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,bay at strachan,25
b933317ff2861c45aacbea4cbf4b541f,43.263198441574474,-79.87180307507515,bay at mulberry,13
20dc109608315db09a8332d6e6940c75,43.2561324863605,-79.8744987564414,city hall,16
a386509756e2c2e15483eaaf344fb412,43.2538302267771,-79.8753935613187,bay at bold,12
3527ca2c4e22a011c0615126afce23d5,43.2496354495324,-79.8720555723035,james s at charlton,11
337f37f6d8b9db34372c0cfe1a7d2595,43.26456372689135,-79.8777937889099,oxford at york,10
8bd4d92cf10d53a1b69805e875ca2001,43.2618861338306,-79.877606006297,queen at peter,12
95c24984959b304fdb8bb3ab251810e9,43.257877862291,-79.8561337635964,west at cannon,13
2a91db522d9c3f209772a8f35b8ee4e1,43.26271404114188,-79.91580605506897,forsyth at sterling,35
1846562b60f9d9469c055fed1d84898e,43.25112644429895,-79.82740849256516,gage at cannon - eri11,9
630c0983a0b38edfc8772e7b45c8dab1,43.2540651616154,-79.8819466027797,h.a.a.a. park,10
f5019394e945492c7644ad38a0db33ce,43.255383107655966,-79.87889617681503,hunter at hess,16
39c08c3439e8b49ff26c7d7d9dfe6ed1,43.24943274108067,-79.8388883471489,dunsmure at sherman - eri10,9
18ed716ef5002294aaa2ff40b3fd8921,43.24634382646498,-79.82685998082161,king at dunsmure - eri09,9
91fa730ae5a6c44945e897d27119a5f2,43.2628018805713,-79.8827367298478,locke at napier,12
5abbf86662e318c18e2e8eb448f2e5c8,43.2659146108256,-79.8819495909127,york at inchbury,12
17dcbb977faa236652d5f039ee54eab5,43.2488085584277,-79.8836993988543,aberdeen at queen,13
dff4dd3a682e5fd806a7004a34f166e4,43.26240933566922,-79.88798081874847,king at dundurn,10
34e98e408d0478448d774f24fbb9105a,43.25966301112219,-79.8892092704773,main at dundurn,11
d6c7c14e47cd30a743d379e7e544f2f2,43.2548127612063,-79.8909067737901,dundurn st s,12
5fd1db2bc0ce16dcc7c983c80fb8ff34,43.262460120020584,-79.92224670946598,mcmaster mary keyes,13
d87ad3e6e7e39c8680e5da273289126a,43.26053126154136,-79.91824820637703,mcmaster health sciences,31
d933c4e54010753b1c85727ba6e203a2,43.2599690032886,-79.922358671032,mcmaster arthur bourns,14
4bc9ff88b1ceaa64a384fa9731ae8d01,43.258038792898375,-79.91978779435158,mcmaster emerson,20
dd521d8e002ed058f01ea5c1d6a899d7,43.2662112220324,-79.8993094512,longwood at edgevale,13
ef31eb281843d11149a891269f438331,43.2630174571678,-79.9009418422827,longwood at king,9
4f4fb284d16149957dda0b5ea3fb8a61,43.2460802627748,-79.90823779724,chedoke stairs,11
bd96d779c3e3b836ca90e548eee888a1,43.25656885270854,-79.9011692404747,mcmaster innovation park,17
7c7c2a29076e490b95bc735fbcaed460,43.2621672804245,-79.8964982026467,macklin at king,14
99ec29f3c8fe3433ed45611988e8ca4d,43.251458458948996,-79.89265590906143,dundurn at aberdeen,24
1fcd421afe5b8dcde4553554201a7ed2,43.2465214141618,-79.8947787566411,dundurn stairs,10
6690c346b37fcd1b741875064926638a,43.26547419149645,-79.94765996932983,cootes drive dundas,1
