id,name,categories,rating,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
wZr3xBFhGfYMY-mqwsQuNQ,redchurch cafe + gallery,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,43.25551,-79.86725,68 King Street E,Hamilton,L8N 1A6,CA,ON
uKVClBhMS6aepljE3Uk-sA,noodle me,"[{'alias': 'noodles', 'title': 'Noodles'}]",4.0,43.25943,-79.86708,1 Wilson Street,Hamilton,L8R 1C4,CA,ON
LtY9hiL8XaOCWJxPi8sYeQ,ben thanh,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}]",2.5,43.2597027081083,-79.8679577552908,113 James Street N,Hamilton,L8R 2K6,CA,ON
KlShqEAvqRFUYJafx56tkQ,pho hamilton,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,43.261299,-79.8707656,115 Park Street N,Hamilton,L8R 2N2,CA,ON
AQ1M0uYOsgNlynTg8lBSmA,pho dui bo,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",3.5,43.2607973988137,-79.8665680736303,15 Cannon Street E,Hamilton,L8L,CA,ON
Cg0WEknzjnguRylTcf1pEQ,kenzo,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.0,43.256548097485,-79.8681968450546,21 King Street E,Hamilton,L8N 1A1,CA,ON
OQvZPynueXmDp4H5fqWT_w,undefined,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",5.0,43.25743,-79.86754,35 King William Street,Hamilton,L8R 1A1,CA,ON
Q3urZhGC4If6AGEhzDVqnQ,green bar,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.5,43.2627485834705,-79.8662985122842,236 James Street N,Hamilton,L8R 2L2,CA,ON
_Tl4-DH2ci_AVXq028__sg,burrito boyz,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,43.2557373046875,-79.8669128417969,66 King Street E,Hamilton,L8N 1A6,CA,ON
vqyK2q3zJ74TIT1-7Bf3Tg,la luna,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,43.25942165323912,-79.87848757635106,306 King Street W,Hamilton,L8P 1B1,CA,ON
zldX2jhIDUBJzaEPYiSWUQ,radius,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.0,43.2523512,-79.8708333,151 James Street S,Hamilton,L8P 2Z5,CA,ON
XgIuY0bC1b9qxXWQXibScg,gate of india,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}]",3.5,43.2618967,-79.866767,201 James Street N,Hamilton,L8R 2L2,CA,ON
hqNHaNUTkM_WpzMdfNBWMA,synonym,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,43.264596686727,-79.8653724789619,328 James Street N,Hamilton,L8L 1H2,CA,ON
ouKTL8ajZ2BGPRf33xwGWA,pho nhung,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,43.26239,-79.87797,85 Queen St N,Hamilton,L8R 2V5,CA,ON
