id,latitude,longitude,name,est_bike_slots,park_poi_counts,bar_poi_counts,food_poi_counts,grocer_poi_counts,yelp_counts
05fffdca01b4d886a823b025b6a04080,43.24216273334376,-79.8250025510788,maple at rothsay - eri08,8,3,8,30,4,37
84c14c7002abf4ab9edea8287a7996ac,43.25812181171754,-79.8793575167656,queen at george,6,9,30,30,20,50
0265404843dccbf9378ce9d56a570914,43.25163232878042,-79.86898005008698,augusta at john,10,15,30,30,17,50
495b82d6d2d3251eaa6efe8c7e9ff3fc,43.2444465978823,-79.81923043727875,ottawa at dunsmure - eri07,9,3,12,30,8,50
cd2f767734dc0fef34dfd12277744d69,43.26558132306987,-79.94965553283691,cootes at york and king,15,2,6,30,6,31
6413564feab2f443261e9bb41fefc19a,43.25971184443275,-79.86767515540123,james at vine,11,9,30,30,24,50
2c40c2c8f305bbdb55924286ef60a65e,43.25332704523968,-79.886634349823,charlton at locke,10,11,23,30,7,50
136db3855339c99b874db87c997d2f46,43.25249971692893,-79.88658607006073,locke at herkimer,7,10,22,30,7,49
306cc88fcd5431a91806cc41757fb0c7,43.2569048421661,-79.86643463373184,king william at hughson,5,14,30,30,24,50
19f78245a8a7b0f415f83078efc45d26,43.25893246012055,-79.8449581861496,barton at wentworth,10,8,15,30,2,38
672fa210a6d49cef4ada2f6cf610c352,43.25200741706332,-79.88158643245697,charlton at queen,9,10,30,30,9,50
bd18a5dc315913736a39a7a08144ce2f,43.25163037518954,-79.87135380506516,duke at james,5,15,30,30,17,50
403cb92786f78feaeb7e07d11d225d28,43.25891916811838,-79.86106485128403,beasley park,9,9,30,30,23,50
c04d5fe44a7f100d1e87b3b7960ddc59,43.25652795268133,-79.86623145639896,john near king,7,14,30,30,23,50
0a044af8a55dabe96d0c48f86d744b2c,43.256556155396176,-79.88510146737099,locke at hunter,10,8,29,30,7,50
151f2c238f193db179e8274b48aefa8f,43.25124627968789,-79.83547054231167,king at barnesdale,6,4,10,30,3,34
60f1ff4162316df19c3fb9fbe498c62d,43.2513467527978,-79.83823858201504,king at sherman,6,5,12,30,2,38
826039584ca9b60fd398e14cffdb03f9,43.251884127702,-79.84635829925537,king at sanford,9,6,15,30,5,37
e4a63afc4502edf7569be3840617d71d,43.25906138152248,-79.87338691949844,bay at york,23,8,30,30,23,50
37616366e445ace57088416e86786a61,43.25693469264953,-79.86957684159279,jackson square,10,11,30,30,23,50
81b2226a10ac65551fe73c9eedd02379,43.25646071175471,-79.84998129308224,cannon at steven,9,10,18,30,4,49
367f5ac4d324e57f25a59c0b3de3bd25,43.27260051521549,-79.86689731478691,pier 4,28,7,3,20,2,18
89702be3edbe08f156bd7b3036f464d4,43.25400491861888,-79.86223563551903,ferguson at king,9,12,30,30,20,50
397f2fea38d84b76656239ab6db8e407,43.24978615747242,-79.87574994564056,durand park,15,14,30,30,8,50
ef756a7aa90c86940a92ba796032150e,43.25729552525069,-79.85334813594818,cannon at east,9,9,21,30,6,50
4811838834c4e081dc82a8b015ae923a,43.265938747249415,-79.86042380332947,strachan at mary,9,7,17,30,10,50
209f28b67a835d95696b6166209907fb,43.26624929442286,-79.86611008644103,west harbour go station,11,8,20,30,16,50
a4efe67161d2b1ff1b28bd18c17f5196,43.27365898786445,-79.86182928085327,james at guise,9,6,1,12,1,10
526a984471e6dbeb0a5037ede184360f,43.289479198281,-79.89169299602507,rbg rock garden,14,0,0,3,0,1
55c7dd2953d457e587c7c9d092bf1cb2,43.27528883070137,-79.85690742731094,pier 8,15,4,1,9,1,8
4b4ce0df11a6f9cf3fc6e04e94c78828,43.25831920066756,-79.84240606427193,westinghouse at barton - eri13,11,7,19,30,2,36
88b4283638e2beb669e4fe1bee89c2f6,43.2637774120007,-79.8660421593136,james at colbourne,14,8,30,30,20,50
8b7317cc71a48fcac26a3ebcd4da7f25,43.25960441109783,-79.90210264921188,main at longwood,8,1,3,30,4,33
b745b74c5f9f41debda6ab80a7d9d2ac,43.26000777328068,-79.7663875669241,van wagners,9,1,1,5,0,4
01e9e28a91a2241eaf86c6bb445716d3,43.2573917915248,-79.86790180206299,king william at james,5,10,30,30,23,50
